Model,Network Transport Size [Mb],Runtime [ms]
edd1-imgcompNone-inpcompNone,0.00,135.6
edd2-imgcompNone-inpcompNone,58.98,35.1
edd2-imgcompPNG-inpcompNone,33.82,266.7
edd2-imgcomp50-inpcompNone,1.89,80.9
edd2-imgcomp75-inpcompNone,2.80,78.1
edd2-imgcomp90-inpcompNone,5.07,70.9
edd2-imgcomp95-inpcompNone,6.80,70.8
edd2-imgcompNone-inpcompNone,14.16,43.2
edd2-imgcompNone-inpcompPNG,5.98,87.8
edd2-imgcompNone-inpcomp50,0.39,53.0
edd2-imgcompNone-inpcomp75,0.57,52.2
edd2-imgcompNone-inpcomp90,0.95,51.3
edd2-imgcompNone-inpcomp95,1.38,51.0
edd4-imgcompNone-inpcompNone,58.98,45.1
edd4-imgcompPNG-inpcompNone,33.82,284.0
edd4-imgcomp50-inpcompNone,1.89,92.4
edd4-imgcomp75-inpcompNone,2.80,96.8
edd4-imgcomp90-inpcompNone,5.07,84.0
edd4-imgcomp95-inpcompNone,6.80,82.3
edd4-imgcompNone-inpcompNone,25.17,55.0
edd4-imgcompNone-inpcompPNG,10.28,133.7
edd4-imgcompNone-inpcomp50,0.65,72.7
edd4-imgcompNone-inpcomp75,0.97,72.3
edd4-imgcompNone-inpcomp90,1.63,70.5
edd4-imgcompNone-inpcomp95,2.37,69.8
edd6-imgcompNone-inpcompNone,58.98,72.2
edd6-imgcompPNG-inpcompNone,33.82,297.3
edd6-imgcomp50-inpcompNone,1.89,113.9
edd6-imgcomp75-inpcompNone,2.80,111.4
edd6-imgcomp90-inpcompNone,5.07,110.6
edd6-imgcomp95-inpcompNone,6.80,106.2
edd6-imgcompNone-inpcompNone,39.32,91.6
edd6-imgcompNone-inpcompPNG,15.52,213.6
edd6-imgcompNone-inpcomp50,0.96,118.0
edd6-imgcompNone-inpcomp75,1.42,115.7
edd6-imgcompNone-inpcomp90,2.36,113.2
edd6-imgcompNone-inpcomp95,3.47,110.7
edd7x-imgcompNone-inpcompNone,58.98,115.5
edd7x-imgcompPNG-inpcompNone,33.82,339.9
edd7x-imgcomp50-inpcompNone,1.89,156.7
edd7x-imgcomp75-inpcompNone,2.80,154.8
edd7x-imgcomp90-inpcompNone,5.07,150.1
edd7x-imgcomp95-inpcompNone,6.80,146.9
edd7x-imgcompNone-inpcompNone,56.62,134.2
edd7x-imgcompNone-inpcompPNG,21.67,300.5
edd7x-imgcompNone-inpcomp50,1.31,170.2
edd7x-imgcompNone-inpcomp75,1.93,166.7
edd7x-imgcompNone-inpcomp90,3.22,163.9
edd7x-imgcompNone-inpcomp95,4.71,161.1

